title,overview
"Rae Morris: 'I was definitely, fully dropped'",The left-field singer couldn't listen to music after her label dumped her. Here's how she recovered.
Why did Elon Musk get cold feet on Twitter?,"Musk is seeking to end his bid to buy Twitter, alleging multiple breaches of the agreement."
Wimbledon: Elena Rybakina says she 'did not know' how to celebrate victory,"New Wimbledon champion Elena Rybakina says she ""did not know"" how to celebrate her ""shocking"" victory over Ons Jabeur in the final."
"Wimbledon: Ons Jabeur on post-final tears, Bob Marley and the runner-up trophy","In her BBC Sport column, Wimbledon runner-up Ons Jabeur talks about her post-final tears and using Bob Marley's positivity as inspiration."
Wimbledon: Elena Rybakina beats Ons Jabeur in women's singles final,Elena Rybakina becomes the first player repreenting Kazakhstan to win a Grand Slam title by beating Tunisian third seed Ons Jabeur 3-6 6-2 6-2 in the Wimbledon women's singles final.
Derek Chisora v Kubrat Pulev: Briton beats Bulgarian on split decision,"Derek Chisora beats Kubrat Pulev by split decision in a close heavyweight encounter at London's O2 Arena, ending a run of three consecutive defeats."
Austrian Grand Prix: Sebastian Vettel handed suspended fine over driver briefing walkout,Sebastian Vettel is handed a suspended fine for walking out of the drivers' briefing at the Austrian Grand Prix.
England v India: Tourists win by 49 runs at Edgbaston to clinch series win,England are thrashed by 49 runs in the second Twenty20 at Edgbaston as India clinch the three-match series with a game to spare.
South Africa 12-13 Wales: Dan Biggar desperate to play in Cape Town series decider,Wales captain Dan Biggar says he is desperate to figure in the series decider against South Africa in Cape Town.
Euro 2022: Why Wendie Renard playing in Rotherham is a good thing,Some Euro 2022 matches featuring the biggest stars of women's football are being played in small northern stadiums - but does that matter?
Euro 2022: Sweden no longer being held back by law of 'Jante',Sweden goalkeeper Hedvig Lindahl tells BBC Sport her team are not afraid of shouting about their talent.
Foreign Secretary Liz Truss joins Tory leadership race,"The foreign secretary launches her leadership bid, joining many other candidates in pledging tax cuts."
Uber Files: Massive leak reveals how top politicians secretly helped Uber,Emmanuel Macron is among leaders who helped the ride-hailing company disrupt new markets.
Sri Lanka: Protesters 'will occupy palace until leaders go',"Sri Lankan President Gotabaya Rajapaksa promised to resign in a few days, but protesters are sceptical."
Novak Djokovic beats Nick Kyrgios to win Wimbledon title,Novak Djokovic underlines his recent dominance at Wimbledon with a composed fightback against Nick Kyrgios to win a fourth straight title.
Space: First Welsh satellite set to be launched later in 2022,A satellite built in Cardiff is set to be launched into space later this year.
Man dies after fall from bonfire,John Steele has been named locally as the man who reportedly fell from the Antiville bonfire.
"Sue Barker's final Wimbledon ends with tributes from Andy Murray, Roger Federer & Billie Jean King",Roger Federer and Andy Murray leads the tributes as Sue Barker's final Wimbledon ends with an emotional send-off in front of cheering fans.
Steve Bannon willing to testify at Capitol riot hearing,Steve Bannon had refused to cooperate until now but his apparent change of heart is supported by Trump.
Birmingham airport flights delayed longest in 2021,But punctuality improved across all UK airports due to fewer flights caused by Covid restrictions.
Austrian Grand Prix: Formula 1 to investigate claims of abuse,Formula 1 will investigate claims that some spectators at the Austrian Grand Prix suffered discriminatory abuse.
South Africa: Fifteen shot dead in Soweto township bar,"The victims are believed to be between 19 and 35 years old, with several more in a critical condition."
Scientists design contraceptives to limit grey squirrels,The project's aim is to help protect ecosystems and native red squirrel populations.
Faroe Islands to limit dolphin hunt after outcry,"The practice has been under scrutiny after more than 1,400 dolphins were killed in one day last year."
The Papers: 'Tory rivals scramble' amid 'toxic smears',"With more MPs launching leadership bids, the race to become PM dominates the front pages on Monday."
The Afghan refugee commanding Ukrainian troops,Jalal Noory was just a child when he escaped Afghanistan's civil wars following the Soviet invasion.
Pikku-Finlandia: Helsinki's new building held up by trees,Helsinki's Pikku-Finlandia is a reusable wooden building with load-bearing tree trunks and branches.
Inside the presidential house now full of Sri Lankans,Sri Lankans have been touring the luxury presidential residence in Colombo after protesters stormed it.
Unearthing the story of Scotland's industrial ghost village,More than 300 people once lived near Woodhead lead mine but the Galloway site is now deserted.
BBC tribute to Sue Barker's 30 years of Wimbledon,BBC Sport pays tribute to broadcaster Sue Barker as she retires from the BBC's Wimbledon coverage after 30 years.
Predatory Sparrow: Who are the hackers who say they started a fire in Iran?,"Experts are asking who is behind Predatory Sparrow, the group which says it started a fire in an Iranian factory."
What is a vote of no confidence?,Keir Starmer is threatening a vote of no confidence in Boris Johnson's government.
The video game prescribed by doctors to treat ADHD,A US game has got regulatory approval to help treat attention deficit hyperactivity disorder.
Wimbledon: Novak Djokovic needed to 'weather the storm' after Australia deportation to win,"Novak Djokovic says he needed time to ""weather the storm"" after his deportation from Australia to claim a fourth-consecutive Wimbledon title."
England v India: Hosts win third T20 despite Suryakumar Yadav's hundred,England hold on for a consolation victory in the third Twenty20 against India despite Suryakumar Yadav's sensational century at Trent Bridge.
Euro 2022: Grace Geyoro scores hat-trick as France thrash Italy,Grace Geyoro scores a hat-trick as France show why they are among the Euro 2022 favourites by thrashing Italy in their Group D opener in Rotherham.
Wimbledon: Watch Novak Djokovic fightback against Nick Kyrgios to win final,Watch highlights as Novak Djokovic fight backs against Australia's Nick Kyrgios to win his seventh Wimbledon men's singles title on Centre Court.
Euro 2022: Iceland and their prime minister discover small can be beautiful,"After criticism of its use at Euro 2022, Manchester City's Academy Stadium proves size is not everything as Iceland bring the Viking clap and their prime minister to Euro 2022."
Paul Pogba: Can midfielder's move from Manchester United reunite Juventus?,"With Paul Pogba set to return to Juventus, Mina Rzouki looks at what impact the Frenchman can have on the former Italian champions."
Euro 2022: Can France overcome troubled past to win first major tournament?,France are ranked third in the world and have some of the most talented players in Europe - so why have they never won a women's major tournament?
Sarina Wiegman: England boss happy if Norway to 'want to be underdogs',"England manager Sarina Wiegman says she is happy for Norway to ""want to be the underdogs"" in their group match at the European Women's Championship."
Sir Mo Farah reveals he was trafficked to the UK as a child,The Olympic star says the name Mohamed Farah was given to him by a stranger who flew him to the UK.
Next Conservative leader and PM to be unveiled by 5 September,Party bosses have also changed the rules to make it more difficult to enter and progress in the race.
Nasa telescope takes super sharp view of early cosmos,The new $10bn space telescope delivers its first full-colour image of the distant Universe.
The soaring costs stretching holidaymakers budgets,Brits heading abroad could face paying more for everything from car hire to meals out
England 8-0 Norway: Sensational hosts stun Norway on record night,"England produce a sensational, record-breaking performance to beat rivals Norway 8-0 and reach the Euro 2022 knockout stages."
Sex assault victims warn about home massage dangers,The BBC has spoken to women who say they were sexually assaulted during massage treatments.
Sri Lanka: Opposition leader ready to run for presidency,"Sajith Premadasa tells the BBC he plans to run for the presidency, after urgent talks with allies."
The Big Plastic Count: Survey shows 'recycling doesn't work',Organisers estimate the UK throws out nearly 100 billion pieces of plastic each year.
Retail sales fall at fastest rate since lockdown,"The current drop in sales has not been seen ""since the depths of the pandemic"", a UK retail body says."
Train drivers vote for rail strikes over pay,Drivers at eight train companies have voted to walk out but a date for action has not yet been set.
UK heatwave: Temperatures rise to 32C amid extreme heat warning,People are being advised to stay indoors where possible and drink plenty of fluids.
The Papers: Sunak's tax pledge and Mo Farah revelations,Expected tax cut vows by Rishi Sunak and Mo Farah's revelation that he was smuggled to the UK feature on the front pages.
Jenin in the West Bank: Guns and grief on the rise,"Tom Bateman spends time with people of Jenin refugee camp, as fears grow of a further descent into violence."
'We have a zeal to protect our heritage through radio',Jambo Radio broadcasts in multiple languages to cater for the growing African and Caribbean community in Scotland.
'Disability fashion line was a lightbulb moment',The woman behind a disability-adaptive clothing brand making a mark in the fashion industry.
Ukraine round-up: Afghan commander and Russia gas cut fears,A man who fled war in Afghanistan now fights for Ukraine and Europe worries about Russian gas.
Neighbours: First pictures of Kylie Minogue and Jason Donovan reunion released,The former Neighbours stars have been pictured reprising their roles as the soap comes to an end.
Nicki Minaj's Camden meet and greet cancelled due to overcrowding,Fans are left disappointed after an event with the US rapper is cancelled because of overcrowding.
Uber whistleblower: â€˜We had easy access to powerâ€™,A former executive reveals how far the company went to court influential leaders around the world.
Roe v Wade: Abortion pills a new front in culture wars,Abortion pills - the most common way to end pregnancies in the US - are in activists' crosshairs.
Watch out for heat exhaustion and heatstroke,Know the signs and what to do if someone is unwell in hot weather.
How do I get the Â£400 energy grant and Â£650 cost-of-living payment?,The first instalment of an extra payment to those on benefits will be paid from 14 July.
Gary Speed: Wales manager's mother talks about his death,The mum of the former Wales football boss opens up more than a decade after he took his own life.
Can the right smell make you more productive?,With more people working from home there's growing interest in making the home smell better.
Sally Phillips on daring to star in a sex comedy film,The actress on playing a woman who starts an all-male house cleaning business - with extras.
Chris Mason: The whittling begins - and Sunak hits back ,All the other candidates have been gunning for the former chancellor's record on tax and spending.
Faisal Islam: Tax cut beauty contest could turn ugly,"Many candidates vying to become Tory party leader are eyeing tax cuts, but can they balance the books?"
Sri Lanka: Why is the country in an economic crisis?,Protesters are occupying the president's official residence after months of instability.
England v South Africa: Emma Lamb hits maiden international century in dominant victory,Emma Lamb's maiden international century leads England to a dominant five-wicket win over South Africa in the first one-day international at Northampton.
England 8-0 Norway highlights: Records tumble at Euro 2022,Watch highlights as England thrash Norway 8-0 at the Amex Stadium to progress to the quarter-finals of the European Women's Championship as group winners.
Gareth Bale: Wales captain targets Euro 2024 with long-term stay at LAFC,Wales captain Gareth Bale is targeting Euro 2024 - and maybe the 2026 World Cup - after declaring he has joined Los Angeles FC for the long term.
Euro 2022: Beth Mead nets 'sensational' second goal to put England 5-0 up against Norway,Beth Mead slaloms through Norway's defence and nets England's fifth as the Lionesses continue their amazing start in their second Euro 2022 match in Brighton.
Attacker clears would-be goal from team-mate off the line in Canadian Premier League,Watch the moment Valour FC's William Akio clears his own team-mate's would-be goal off the line during their Canadian Premier League game against HFX Wanderers.
The Open Championship: Tiger Woods reminds me he's chasing third Old Course win - Rory McIlroy,"Rory McIlroy says it is ""great"" Tiger Woods is at the 150th Open Championship even if the American has been joking about his superior St Andrews record."
Euro 2022: Where does England's 8-0 win over Norway rank?,BBC Sport takes a look at England's over huge tournament wins after the Lionesses thrash Norway at Euro 2022.
Euro 2022: How England's players reacted to stunning 8-0 win over Norway,"""I just can't put it into words"" - how England's players reacted to their stunning 8-0 win over Norway."
Euro 2022: Northern Ireland out in group stages after Austria defeat,Northern Ireland are out of Euro 2022 after a 2-0 defeat by Austria in Southampton was followed by England's 8-0 hammering of Norway.
Conservative MPs to begin voting in leadership race,The eight candidates need to gain at least 30 votes to stay in the contest to replace Boris Johnson.
Sri Lanka: President Gotabaya Rajapaksa flees the country on military jet,Gotabaya Rajapaksa has arrived in the Maldives amid mass protests over Sri Lanka's economic crisis.
Sir Mo Farah 'relieved' Home Office won't take action over citizenship,It comes after Sir Mo Farah revealed he was trafficked to the UK as a child.
Twitter sues Elon Musk over $44bn takeover deal,The social media firm is trying to force Elon Musk to buy it after he walked away from the deal.
SAS killings: Former head of UK armed forces says he would order investigation,General Lord Richards says he would order an investigation into alleged killings if he were still in charge.
Covid: 3m adults still unvaccinated in England,"Some are vulnerable people who could get extremely sick if they were to catch Covid, warn experts."
James Webb: Nasa space telescope delivers spectacular pictures,"A ""stellar nursery"" and a ""cosmic dance"" are among James Webb's first batch of colour images."
"Capitol riots: 'Wild' Trump tweet incited attack, says inquiry","Mr Trump sent a rallying call to supporters after ""the craziest meeting"" of his presidency, the inquiry hears."
Businesses urge PM candidates to focus on growth and tax,"CBI business lobby group calls for ""credible and bold plans for growth"" in a letter to candidates."
"Telford child sex abuse went on for generations, inquiry finds","Agencies blamed children and not perpetrators for the abuse suffered in Telford, the report says."
Queen awards NHS George Cross medal,"The vaccine rollout had been ""amazing"", said the Queen, at a ceremony at Windsor Castle."
UK heatwave: Temperatures set to peak on Monday,People are being warned of heat risks to their health amid temperatures reaching above 30C.
No 10 blocks Labour 'no confidence' vote on government and Boris Johnson,"Downing Street says it would allow a vote of no confidence in the government, but not in Boris Johnson."
The Papers: 'Stop Rishi' push and Britain on heat 'red alert',Moves by allies of Boris Johnson to stop Rishi Sunak becoming Tory leader and fears over the coming heatwave feature on the front pages.
Ukraine's rock warrior Slava Vakarchuk: 'We need to be angry.',"Slava Vakarchuk is the lead singer of Okean Elzy, Ukraine's most popular rock band."
'Flying my parrot is a reason to go out',Chloe Brown has taught her harlequin macaw how to free fly in locations including the Peak District.
CEO Secrets: How one company attracts more men,"Mary Ellen Iskenderian, president and CEO of non-profit organisation Women's World Banking, shares her business advice."
Cost of living: The family who gave up a car to cycle every day,"Lindsay, Simon and their two daughters say they've saved up to Â£400 a month by ditching their car."
SAS killings in Afghanistan: The story of one suspicious death,BBC Panorama has discovered one British SAS unit killed 54 people in suspicious circumstances.
Sir Mo Farah describes calling his mum after years of separation,"His mother says she felt like ""transporting with joy"" when Sir Mo Farah called her after years apart."
Nothing phone quirky design aims to light up market,"UK company Nothing's first handset, with distinctive notification lights, has had 200,000 pre-orders."
Emmy TV Awards 2022: The key nominees,Find out if your favourite actors and shows have been nominated for America's leading TV honours.
Cost of living: Why are things so hard for so many people?,"Five charts show why low-quality work, high rent and flat wages mean price rises are hitting hard."
Joe Biden heads to Middle East amid faltering US sway,The US president's visit to the turbulent region may highlight the limits of American power.
Why Shah Rukh Khan is still 'king of Bollywood',"Thirty years after he began his career, the actor remains among the world's biggest film icons."
Former airline worker: 'It would be like going back to an ex',Three people who used to work in aviation up until the Covid pandemic discuss whether they would return to the industry.
Tory leadership: Do rivals tax pledges add up?,Contenders have promised a range of tax cuts but given little detail about how they will be funded.
Ukraine war round-up: Kyiv's rocket attack and US says Iran to give Russia drones,"Ukraine attacks a Russian-held city with US missiles, while Iran is reportedly giving Moscow drones."
Sri Lanka: Why is the country in an economic crisis?,Protesters are occupying the president's official residence after months of instability.
SAS killings: How a scandal was uncovered,"Panorama brought a series of suspicious killings of civilians to light, after four years of detective work."
"England 'won't panic' despite heavy defeat in first India ODI, says captain Jos Buttler","England ""won't panic"" despite losing by 10 wickets in the first ODI of the series against India at The Kia Oval, says captain Jos Buttler."
Manchester United 4-0 Liverpool: What did we learn from Bangkok friendly?,Is this Martial's time to shine? Is Darwin Nunez's next number nine? What did we learn from Bangkok friendly?
Tiger Woods says LIV golfers turned backs on what made them,"Tiger Woods believes some players ""have turned their back"" on what made them by leaving the PGA Tour to join the LIV Golf Series."
Euro 2022: Ian Wright hits back at Lord Sugar's 'complete foolishness' over lack of male pundits,"Ian Wright hit back at Lord Sugar's ""complete foolishness"" after the Apprentice star complained about the lack of male pundits on BBC Sport's Euro 2022 coverage."
England v India highlights: Jasprit Bumrah takes six wickets as hosts beaten by 10 wickets in first ODI,England are bowled out for 110 as they slump to a miserable 10-wicket defeat against India in the first one-day international at The Oval.
Australia v England: Will Eddie Jones be tempted to go back to the future?,"Danny Care says England want to have an ""all-court game"", but will we see 'Old England' in the final Test against Australia?"
Tour de France: Magnus Cort wins disrupted 10th stage after delay,Magnus Cort edges out Nicholas Schultz in a photo finish to win a disrupted 10th stage of the Tour de France after climate activists forced a 10-minute delay in Megeve.
Euro 2022: Germany win Group B and move into quarter-finals with 2-0 win over Spain,Eight-time European champions Germany defeat Spain to secure top spot in Group B and avoid a Euro 2022 quarter-final tie with England.
Euro 2022: Pernille Harder scores as Denmark beat Finland to keep hopes of progress alive,Pernille Harder's second-half goal ensures Denmark keep their hopes of progressing from Group B alive as they beat a determined Finland at Euro 2022.
Tory leadership race: Liz Truss vows to make UK 'an aspiration nation',The foreign secretary launches her leadership campaign as Tory MPs vote in round two of the contest.
Chris Mason: Real prospect of twists in leadership contest ,"Rishi Sunak is out in front but the fizz and chatter, for now at least, is about Penny Mordaunt."
Vincent Van Gogh: Hidden self-portrait discovered by X-ray,The work was discovered on the back of another of the artist's paintings in a Scottish gallery.
Sri Lanka PM tells military to do whatever necessary to restore order,Thousands of protesters stormed the office of Prime Minister Ranil Wickremesinghe.
IMF warns of 'darkening' global economic outlook,The International Monetary Fund hints it will downgrade its expectations for global economic growth.
Online Safety Bill put on hold until new prime minister in place,The bill's passage through Parliament has been delayed until MPs return from summer break.
First cost-of-living payments start to arrive in accounts,"The first Â£326 payment will be paid by the end of July, the government has said."
New fungi species unearthed in Cairngorms mountains,The discoveries included a fungus previously recorded in the Arctic and another in Antarctica.
Joshua Schulte: Former CIA hacker convicted of 'brazen' data leak,"Prosecutors said Joshua Schulte leaked advanced hacking tools to WikiLeaks in a ""devastating"" move."
Rail strike: New walkout to take place on 27 July,"Rail workers will walk out as part of an ongoing dispute over pay, jobs and conditions, the RMT union says."
"No UK troops above law, PM says after claims about SAS",But Boris Johnson declines to talk during PMQs about allegations of unlawful killings by an SAS unit.
Footballer arrested for alleged rape not suspended,"A Premier League player arrested on suspicion of rape has not been suspended and can ""fulfil his professional commitments"", his club have said."
Extreme weather warning extended to Tuesday,"Temperatures are set to peak on Monday, with highs of 36C forecast for parts of south-east England."
The Papers: Mordaunt 'seizes momentum' and 'rattles rivals',Penny Mordaunt's surge in the Tory leadership race features on the front pages.
Conservative candidates compete with campaign videos,Several candidates for leader have made slick campaign videos to try and get their message across.
What are airports doing to avoid summer holiday chaos?,The mammoth effort underway to prepare the aviation sector for 'super peak' getaway period.
The last specialist Ukrainian maternity ward in eastern Donbas,Pokrovsk Perinatal Centre is around 40km (25 miles) from the nearest front line.
Turkey teeth: Are cut-price reality TV teeth worth it?,UK dentists are treating patients with complications after travelling abroad for cheap crowns.
'Why I invented Non-binary Day',Katje van Loon had the idea for International Non-Binary day - half way between International Women's Day and International Men's Day.
Heatwave: When is it too hot to work?,"With much of the UK facing a heatwave, when is it too hot to work?"
Avondale Grange: Life in a 'left behind' England neighbourhood,The estate in Kettering is one of 225 areas said to need help to stop growing inequality.
Rail strikes: What is the dispute about?,"A new walkout will take place on 27 July, but what is the dispute about?"
Bernard Collaery: The spy case that ignited an Australian secrecy row,"Bernard Collaery is a hero in East Timor, but faced prosecution in Australia for revealing a spy mission."
Boris Johnson: The inside story of the prime minister's downfall,Laura Kuenssberg looks at what finally made the prime minister change his mind about quitting.
Ukraine round-up: Claims of forced deportations and grain talks take place,The US accuses Russia of removing civilians and Ukraine breaks off diplomatic ties with North Korea.
Summer holiday: 'We spent 15 hours on a flight to nowhere',"Mark and Caroline Gittins ended up back where they started, after strong winds diverted their flight to Madeira."
Telford child sex abuse survivor: There was a stream of men,Emily Vaughn told the inquiry of her experiences but questions if anything will change as a result.
The Open Championship: R&A chief says LIV Golf 'not in best interests' of the sport,"Banning LIV Golf players from The Open is ""not on the agenda"" of the R&A, says chief Martin Slumbers as he addresses the Saudi-funded start-up."
'I've more to achieve' - Sterling signs for Chelsea,Chelsea confirm the signing of England forward Raheem Sterling from Manchester City in a Â£50m deal.
Euro 2022 - Netherlands v Portugal: Van de Donk stunner restores lead,"Danielle van de Donk scores ""an absolute rocket"" to secure a 3-2 win for the Netherlands over Portugal at Euro 2022."
'Phantom of the Open': How Maurice Flitcroft tricked the R&A,Maurice Flitcroft was the 'Phantom of the Open' - an undaunted amateur who tricked his way into competing among golf's elite.
Andy Murray fights back to beat Max Purcell and reach last eight at Hall of Fame Open,"Andy Murray recovers from a set down to reach the quarter-finals of the Hall of Fame Open in Newport, Rhode Island."
The Open: St Andrews Old Course ready for historic 150th championship,St Andrews is primed for record-breaking crowds as the iconic Old Course hosts a historic 150th edition of the Open Championship.
"The Open tee times: Thursday & Friday groups for Woods, McIlroy & Rahm",England's US Open champion Matt Fitzpatrick will play with three-time Open champion Tiger Woods in the first two rounds at St Andrews.
Sri Lanka: Four key moments from storming of PM's office,Protesters were met with tear gas and water cannon by authorities.
Sri Lanka: Why is the country in an economic crisis?,A state of emergency has been declared after months of protests across the country.
Sri Lanka: First fuel in days trickles through to residents,Residents weary of crisis queue for fuel after huge crowds of protesters force the president to flee.
Sri Lanka: 'The protests have changed thinking for the better',Sri Lankan women tell the BBC of their hopes that the protests will have a positive impact on people's lives.
Watch the moment protesters set PM's home on fire,Prime Minister Ranil Wickremesinghe was not in the building at the time.
Inside the presidential palace now full of Sri Lankans,Sri Lankans have been touring the luxury presidential residence in Colombo after protesters stormed it.
Sri Lanka: How a dramatic day unfolded at the PM's office,Protesters broke into the prime minister's office after President Gotabaya Rajapaksa fled the country.
Netherlands survive a scare to see off Portugal,Danielle van de Donk scores a fine winner as defending champions the Netherlands survive a scare to defeat Portugal in an action-packed Euro 2022 encounter.
Euro 2022: Sweden secure first Group C win against Switzerland,Teenage substitute Hanna Bennison scores the winning goal as Sweden overcome Switzerland to earn their first victory at Euro 2022.
Euro 2022: Where does England's 8-0 win over Norway rank?,BBC Sport takes a look at England's huge tournament wins after the Lionesses thrash Norway at Euro 2022.
How to watch every Women's Euro 2022 game on the BBC,How to watch every Uefa Women's Euro 2022 game on the BBC this July.
Tory leadership race: Liz Truss's backing grows as contest tightens,Foreign secretary picks up support from defeated rival as another contender is urged to step down.
Rail workers to strike for another two days in August,"Workers at Network Rail and 14 train operators will now strike on 18 and 20 August, as well as 27 July."
Italian PM Mario Draghi offers resignation after coalition falls apart,"Mario Draghi resigns after his coalition falls apart, but the president refuses to accept it."
"Ivana Trump, Donald Trump's first wife, dies at 73","The former US president described his ex-wife as a ""wonderful, beautiful and amazing woman""."
"EU energy rationing can't be ruled out, Shell warns","A ""really tough winter in Europe"" is ahead given doubts over Russian gas supplies, says the firm's boss."
Sri Lanka: Gotabaya Rajapaksa resigns after fleeing Sri Lanka,"Protesters celebrate in Colombo after Gotabaya Rajapaksa stands down, having fled to Singapore."
Ukraine war: 23 killed in Russian rocket attack on Vinnytsia,"Three children were among those killed by Russian missiles in the central city of Vinnytsia, Ukraine says."
NHS facing surge in demand amid extreme weather warning,People are being urged to stay hydrated and look out for vulnerable people as the heat builds.
Driving tests: Thousands of booking accounts blocked,Action comes after BBC News found software was being used to bulk book slots to sell for profit.
BBC sets out plans for TV news channel merger in 2023,The channel will be called BBC News and will replace the corporation's two existing news channels.
Comedian Rhod Gilbert receiving treatment for cancer,The comedian cancelled shows last week after saying he was struggling with neck and throat pain.
The Open: Rory McIlroy makes strong start at St Andrews Old Course,The early starters took advantage of benign conditions as the Old Course is left largely defenceless on the opening morning of the 150th Open Championship.
Gatwick Airport: Burst pipe limits water supply during heatwave,Toilet facilities at the airport are closed as a result of the outage.
The Papers: 'Knives out' for Mordaunt and NHS braces for heat,Criticism of Penny Mordaunt by backers of her Tory leadership rival Liz Truss feature on the front pages.
Why is it so hot (in under 60 seconds)?,A heatwave is sweeping across Europe and scorching temperatures are expected in the UK next week.
Quiz of the week: Where did a new Van Gogh turn up?,How closely have you been paying attention to what's been going on over the past seven days?
"Ice in hats, ventilated suits - keeping cool at work",The hot weather inspires workers to use innovative measures to keep cool.
The unintended side-effects of a Grammy nomination,A new study suggests that artists who are nominated for an award but don't win often stop taking risks.
Social support helps orphaned elephants 'cope',"'Friends and family' lower long-term stress in orphaned elephants, study finds."
Shakespeare North unveils rival to London's Globe Theatre,"The town of Prescot, near Liverpool, celebrates its links to Shakespeare with a Â£38m replica theatre."
Ambulance services branded on brink of collapse,BBC Newsnight spends 12 hours at six hospitals with the longest delays handing over patients. to A&E.
'They started hunting for me': Ukraine politicians face torture in Russian detention,"Local politicians in occupied regions of Ukraine say they were abducted, beaten and tortured."
Why Biden's Saudi trip has proved so thorny,"On this Middle East tour, the president must walk a foreign policy tightrope."
"Disability and the heatwave: 'Dizziness, dehydration and my cooling body armour'",As the temperature rises what are the challenges faced by disabled people?
What comes next for US gun control?,Here's a look at some solutions to gun violence proposed by both sides of the gun-control debate.
Satellites give clues about the coming global harvest,"With wheat at record high prices, importing countries hoping for increased supply may be disappointed."
Cost of living: 'I've had to rummage in bins for food to eat',"Demand is rising at a food bank just as donations drop, while concerns grow about the coming winter."
Ukraine round-up: Deadly attack 'act of terrorism',"An attack on a city far from the front line kills more than 20 people, and a Russian mother's anger over her missing son."
England v India: Reece Topley takes 6-24 as hosts level series,England dig in to level their one-day international series against India with a 100-run victory in the second match at Lord's.
Tour de France 2022: Tom Pidcock claims first stage win with Chris Froome third,Tom Pidcock wins his maiden Tour de France stage in style with a solo victory atop the iconic Alpe d'Huez.
Crawley Town: The 'internet's football team' aiming for the Premier League,"New owners want to take fourth-tier Crawley Town all the way to the top, harnessing the volatile world of crypto-assets."
England v India: Reece Topley stars with ball as England level series,Reece Topley starred with the ball as England fought back to level their one-day international series against India with a 100-run victory in the second match at Lord's.
The Open 2022: Kim Si-Woo makes incredible bunker shot at second attempt,Watch as Kim Si-Woo pars the 17th hole with an outstanding shot from the bunker at The 150th Open.
Euro 2022: Karolina Lea Vilhjalmsdottir's volley gives Iceland early lead against Italy,Watch Karolina Lea Vilhjalmsdottir fire in a volley to give Iceland an early lead against Italy at the Manchester City Academy Stadium.
Euro 2022: Attendance record broken for Women's Euros with 15 games left,Euro 2022 breaks the record for the total attendance at a European Women's Championship - despite still being in the group stage.
Tory leadership: Who gets to choose the UK's next prime minister?,"They are older, more male and better off than the UK average. What else do we know about Tory members?"
Tory leadership race: Where do candidates stand on net zero goal?,Not all the candidates want to push ahead with policies designed to de-carbonise the economy by 2050.
Who will replace Boris Johnson?,Five Tory MPs remain in the contest to become the next party leader and prime minister - but who are they?
Tory leadership contest: Liz Truss quizzed after criticism flies in race to No 10,The Tory leadership contest has become increasingly fractious as candidates battle to stay in the race.
Tory leadership: Do rivals' tax pledges add up?,Contenders have promised a range of tax cuts but given little detail about how they will be funded.
Tory leadership: What the diverse line-up means for UK politics,What does the diversity of candidates vying to be Conservative party leader and PM tell us about British politics?
Tory leadership contest: The big government plans put on ice for new PM,"Tax, online regulation, pay and Channel 4's future are among the issues on hold during the Tory leadership race."
Tory leadership: What candidates think about Northern Ireland Protocol,What do the would-be prime ministers want to do with the Northern Irish part of the Brexit deal?
France 2-1 Belgium: France win to progress to knockout stage as group winners,France breeze into the Euro 2022 quarter-finals with a game to spare by beating Belgium at Rotherham's New York Stadium to progress as Group D winners.
Italy 1-1 Iceland: Valentina Bergamaschi equalises for the Azzurre,Italy and Iceland are forced to settle for a point each as their hopes of advancing to the quarter-finals of Euro 2022 are left on a knife-edge.
Euro 2022: Tell us about your tournament experiences so far,Have you been to any of the Euro 2022 games so far this summer? Let us know your stories.
Euro 2022: England defender Demi Stokes ruled out of final group game against Northern Ireland,Preview followed by live coverage of Friday's Women's European Championship game between Northern Ireland and England.
Tory leadership rivals trade blows over tax and spending,The economy loomed large as the five contenders took part in the contest's first live TV debate.
Tory leadership race: Stakes high as debate exposes rifts,"The TV debate between rivals for the Tory leadership is showing up divisions, the BBC's Nick Eardley explains."
Heatwave: National emergency declared after UK's first red extreme heat warning,Trains could be disrupted and schools are closing early as temperatures could hit 40C (104F).
Heatwave: Schools to close or let children wear PE kit to keep cool,"Some schools are closing, and others are taking extra steps as temperatures could hit 40C."
Saudi Arabia: Biden raised Khashoggi murder with crown prince,"The US president is attempting to rebuild ties having promised to make Saudi Arabia a ""pariah""."
Ivana Trump died of blunt impact injuries to torso - NYC medical examiner,The death of Donald Trump's first wife is ruled accidental amid reports that she fell down stairs.
Covid booster: Will be offered to all over 50s this autumn,More people than originally planned will be offered the jab in the UK ahead of the coming winter.
US monkeypox outbreak: Demand for vaccines outstrips supply,"The slow roll-out is a blow to chances of containing the outbreak, health experts warn."
England beat Northern Ireland 5-0 at Euro 2022,England wrap up an impressive group stage at Euro 2022 as they comfortably beat Northern Ireland having already qualified for the quarter-finals.
David Venables guilty of wife's septic tank murder 40 years ago,David Venables killed Brenda 40 years ago and her remains lay undiscovered for decades.
Heathrow delays: Emirates agrees to cap summer ticket sales,The airline says it will work with the airport as it struggles to cope with surging demand for travel.
Woman who had to adopt own child made legal parent,Sarah Osborne was wrongly told she could not be added as a parent when registering the baby's birth.
"Ukraine round-up: Girl, 4, among Russian rocket attack victims and British aid worker dies","Four-year-old Liza was one of three children killed in the attack on Vinnytsia, far from the front line."
